"uniprot_id"	"prediction_disorder_mobidb_lite"	"prediction_disorder_alphafold"	"hgnc_symbol"	"start_position"	"end_position"	"gene_biotype"
"1467"	"O96011"	0.077	0.151	"PEX11B"	145911350	145918717	"protein_coding"
"1468"	"O96013"	0.35	0.467	"PAK4"	39125770	39182816	"protein_coding"
"1469"	"O96015"	NA	0.124	"DNAL4"	38778508	38794198	"protein_coding"
"1470"	"O96017"	0.182	0.239	"CHEK2"	28687743	28742422	"protein_coding"
"1471"	"O96018"	0.25	0.379	"APBA3"	3750772	3761692	"protein_coding"
"1472"	"O96019"	NA	0.049	"ACTL6A"	179562886	179588407	"protein_coding"
"1473"	"O96020"	0.109	0.307	"CCNE2"	94879770	94896678	"protein_coding"
"1474"	"O96028"	0.223	0.415	"NSD2"	1871393	1982207	"protein_coding"
"1475"	"O96033"	NA	0	"MOCS2"	53095679	53110063	"protein_coding"
"1476"	"P00167"	NA	0.396	"CYB5A"	74250846	74291973	"protein_coding"
"1477"	"P00325"	NA	0	"ADH1B"	99304971	99321401	"protein_coding"
"1478"	"P00338"	NA	0.036	"LDHA"	146012	159877	"protein_coding"
"1479"	"P00352"	NA	0.024	"ALDH1A1"	72900671	73080442	"protein_coding"
"1480"	"P00367"	NA	0.099	"GLUD1"	87050202	87094843	"protein_coding"
"1481"	"P00374"	NA	0	"DHFR"	80626226	80654983	"protein_coding"
"1482"	"P00387"	NA	0.083	"CYB5R3"	42615730	42720870	"protein_coding"
"1483"	"P00390"	NA	0.109	"GSR"	30678066	30727846	"protein_coding"
"1484"	"P00395"	NA	0	"MT-CO1"	5904	7445	"protein_coding"
"1485"	"P00403"	NA	0.119	"MT-CO2"	7586	8269	"protein_coding"
"1486"	"P00414"	NA	0.042	"MT-CO3"	9207	9990	"protein_coding"
"1487"	"P00439"	NA	0.055	"PAH"	102836889	102958410	"protein_coding"
"1488"	"P00441"	NA	0	"SOD1"	31659666	31668931	"protein_coding"
"1489"	"P00450"	NA	0.014	"CP"	149162410	149221829	"protein_coding"
"1490"	"P00451"	0.019	0.449	"F8"	154835788	155026940	"protein_coding"
"1491"	"P00480"	NA	0.093	"OTC"	38327598	38422908	"protein_coding"
"1492"	"P00488"	0.037	0.022	"F13A1"	6144084	6321013	"protein_coding"
"1493"	"P00491"	NA	0	"PNP"	20461992	20477094	"protein_coding"
"1494"	"P00492"	NA	0.005	"HPRT1"	134460165	134520513	"protein_coding"
"1495"	"P00505"	NA	0.107	"GOT2"	58707131	58734342	"protein_coding"
"1496"	"P00519"	0.424	0.499	"ABL1"	130713043	130887675	"protein_coding"
"1497"	"P00533"	0.034	0.222	"EGFR"	55019017	55211628	"protein_coding"
"1498"	"P00558"	NA	0	"PGK1"	77910739	78129295	"protein_coding"
"1499"	"P00568"	NA	0	"AK1"	127866486	127877675	"protein_coding"
"1500"	"P00709"	NA	0.127	"LALBA"	48567684	48570066	"protein_coding"
"1501"	"P00734"	NA	0.14	"F2"	46719196	46739506	"protein_coding"
"1502"	"P00742"	NA	0.254	"F10"	113122799	113149529	"protein_coding"
"1503"	"P00746"	NA	0.099	"CFD"	38523	42509	"protein_coding"
"1504"	"P00747"	0.051	0.093	"PLG"	160702194	160754097	"protein_coding"
"1505"	"P00749"	NA	0.088	"PLAU"	73909177	73917496	"protein_coding"
"1506"	"P00797"	NA	0.081	"REN"	204154819	204190324	"protein_coding"
"1507"	"P00813"	NA	0.022	"ADA"	44584896	44652252	"protein_coding"
"1508"	"P00846"	NA	0.053	"MT-ATP6"	8527	9207	"protein_coding"
"1509"	"P00918"	NA	0	"CA2"	85463968	85481493	"protein_coding"
"1510"	"P00966"	NA	0.075	"ASS1"	130444961	130501274	"protein_coding"
"1511"	"P00973"	NA	0.142	"OAS1"	112905856	112933219	"protein_coding"
"1512"	"P01008"	NA	0.149	"SERPINC1"	173903800	173917327	"protein_coding"
"1513"	"P01009"	0.048	0.103	"SERPINA1"	94376747	94390693	"protein_coding"
"1514"	"P01011"	NA	0.111	"SERPINA3"	94612384	94624055	"protein_coding"
"1515"	"P01023"	NA	0.048	"A2M"	9067664	9116229	"protein_coding"
"1516"	"P01024"	0.012	0.025	"C3"	6677704	6730562	"protein_coding"
"1517"	"P01031"	NA	0.011	"C5"	120932987	121075195	"protein_coding"
"1518"	"P01033"	NA	0.092	"TIMP1"	47582408	47586789	"protein_coding"
"1519"	"P01034"	NA	0.274	"CST3"	23626706	23638473	"protein_coding"
"1520"	"P01040"	NA	0	"CSTA"	122325248	122341969	"protein_coding"
"1521"	"P01100"	0.124	0.934	"FOS"	75278826	75282230	"protein_coding"
"1522"	"P01106"	0.21	0.843	"MYC"	127735434	127742951	"protein_coding"
"1523"	"P01111"	NA	0.095	"NRAS"	114704469	114716771	"protein_coding"
"1524"	"P01112"	NA	0.095	"HRAS"	61883	66928	"protein_coding"
"1525"	"P01116"	NA	0.09	"KRAS"	25205246	25250936	"protein_coding"
"1526"	"P01130"	0.026	0.208	"LDLR"	11089418	11133820	"protein_coding"
"1527"	"P01137"	NA	0.108	"TGFB1"	41301587	41353922	"protein_coding"
"1528"	"P01189"	0.479	0.903	"POMC"	25160853	25168903	"protein_coding"
"1529"	"P01210"	0.075	0.809	"PENK"	56436674	56446671	"protein_coding"
"1530"	"P01303"	NA	0.722	"NPY"	24284188	24291862	"protein_coding"
"1531"	"P01374"	NA	0.288	"LTA"	31572054	31574324	"protein_coding"
"1532"	"P01375"	NA	0.335	"TNF"	3052854	3055623	"protein_coding"
"1533"	"P01574"	NA	0.059	"IFNB1"	21077104	21077942	"protein_coding"
"1534"	"P01584"	NA	0.42	"IL1B"	112829751	112836816	"protein_coding"
"1535"	"P01589"	0.221	0.474	"IL2RA"	6010689	6062370	"protein_coding"
"1536"	"P01591"	NA	0.233	"JCHAIN"	70655541	70681817	"protein_coding"
"1537"	"P01715"	NA	0.243	"IGLV3-1"	22880706	22881396	"IG_V_gene"
"1538"	"P01764"	NA	0.222	"IGHV3-23"	106268606	106269140	"IG_V_gene"
"1539"	"P01767"	NA	0.224	"IGHV3-53"	1084355	1085026	"IG_V_gene"
"1540"	"P01780"	NA	0.231	"IGHV3-7"	529918	530452	"IG_V_gene"
"1541"	"P01833"	0.067	0.28	"PIGR"	206928522	206946466	"protein_coding"
"1542"	"P01857"	0.064	0.052	"IGHG1"	204112	210840	"IG_C_gene"
"1543"	"P01871"	NA	0.031	"IGHM"	321989	323987	"IG_C_gene"
"1544"	"P01876"	0.076	0.113	"IGHA1"	105703995	105708665	"IG_C_gene"
"1545"	"P01889"	0.072	0.224	"HLA-B"	31353872	31367067	"protein_coding"
"1546"	"P01909"	NA	0.283	"HLA-DQA1"	4039288	4045152	"protein_coding"
"1547"	"P01911"	NA	0.259	"HLA-DRB1"	32577902	32589848	"protein_coding"
"1548"	"P01920"	NA	0.245	"HLA-DQB1"	4076917	4086211	"protein_coding"
"1549"	"P02100"	NA	0	"HBE1"	5268345	5505652	"protein_coding"
"1550"	"P02144"	NA	0	"MB"	35606764	35637951	"protein_coding"
"1551"	"P02452"	0.763	0.816	"COL1A1"	50184101	50201632	"protein_coding"
"1552"	"P02458"	0.767	0.822	"COL2A1"	47972967	48004554	"protein_coding"
"1553"	"P02461"	0.75	0.816	"COL3A1"	188974373	189012746	"protein_coding"
"1554"	"P02462"	0.79	0.869	"COL4A1"	110148963	110307202	"protein_coding"
"1555"	"P02511"	0.171	0.349	"CRYAB"	111908564	111923722	"protein_coding"
"1556"	"P02533"	0.1	0.57	"KRT14"	41582279	41586895	"protein_coding"
"1557"	"P02538"	0.041	0.668	"KRT6A"	52487176	52493257	"protein_coding"
"1558"	"P02545"	0.196	0.402	"LMNA"	156082572	156140081	"protein_coding"
"1559"	"P02549"	NA	0.024	"SPTA1"	158610704	158686715	"protein_coding"
"1560"	"P02585"	NA	0	"TNNC2"	45823214	45833745	"protein_coding"
"1561"	"P02647"	NA	0.989	"APOA1"	116835751	116837622	"protein_coding"
"1562"	"P02649"	NA	0.375	"APOE"	44905791	44909393	"protein_coding"
"1563"	"P02656"	NA	1	"APOC3"	116829706	116833072	"protein_coding"
"1564"	"P02671"	0.341	0.516	"FGA"	154583126	154590742	"protein_coding"
"1565"	"P02675"	0.065	0.387	"FGB"	154563011	154572807	"protein_coding"
"1566"	"P02679"	0.066	0.347	"FGG"	154604134	154612967	"protein_coding"
"1567"	"P02686"	0.714	1	"MBP"	76978827	77133683	"protein_coding"
"1568"	"P02689"	NA	0	"PMP2"	81440326	81447439	"protein_coding"
"1569"	"P02751"	0.027	0.118	"FN1"	215360440	215436073	"protein_coding"
"1570"	"P02753"	NA	0.164	"RBP4"	93591687	93601744	"protein_coding"
"1571"	"P02765"	0.123	0.33	"AHSG"	186613060	186621318	"protein_coding"
"1572"	"P02766"	NA	0.17	"TTR"	31557009	31598833	"protein_coding"
"1573"	"P02768"	NA	0.03	"ALB"	73397114	73421482	"protein_coding"
"1574"	"P02771"	NA	0.036	"AFP"	73431138	73456174	"protein_coding"
"1575"	"P02774"	NA	0.049	"GC"	71741696	71804041	"protein_coding"
"1576"	"P02786"	NA	0.159	"TFRC"	196012511	196082153	"protein_coding"
"1577"	"P02787"	NA	0.024	"TF"	133746040	133796641	"protein_coding"
"1578"	"P02788"	NA	0.025	"LTF"	46435645	46485234	"protein_coding"
"1579"	"P02790"	0.043	0.132	"HPX"	6431049	6442617	"protein_coding"
"1580"	"P02792"	NA	0	"FTL"	48965309	48966879	"protein_coding"
"1581"	"P02794"	NA	0.049	"FTH1"	61959718	61967634	"protein_coding"
"1582"	"P02795"	NA	0.148	"MT2A"	56608584	56609497	"protein_coding"
"1583"	"P03891"	NA	0.006	"MT-ND2"	4470	5511	"protein_coding"
"1584"	"P03928"	NA	1	"MT-ATP8"	8366	8572	"protein_coding"
"1585"	"P03951"	NA	0.03	"F11"	186266189	186289681	"protein_coding"
"1586"	"P03952"	NA	0.038	"KLKB1"	186226438	186258471	"protein_coding"
"1587"	"P03956"	NA	0.051	"MMP1"	102789401	102798160	"protein_coding"
"1588"	"P04003"	NA	0.106	"C4BPA"	207104233	207144972	"protein_coding"
"1589"	"P04004"	0.215	0.326	"VTN"	28367284	28373091	"protein_coding"
"1590"	"P04035"	NA	0.209	"HMGCR"	75336329	75364001	"protein_coding"
"1591"	"P04040"	NA	0.146	"CAT"	34438934	34472060	"protein_coding"
"1592"	"P04049"	0.177	0.369	"RAF1"	12582101	12664201	"protein_coding"
"1593"	"P04053"	0.047	0.11	"DNTT"	96304409	96338564	"protein_coding"
"1594"	"P04066"	NA	0.077	"FUCA1"	23845077	23868290	"protein_coding"
"1595"	"P04075"	NA	0.008	"ALDOA"	30064164	30070457	"protein_coding"
"1596"	"P04080"	NA	0.02	"CSTB"	43772511	43776330	"protein_coding"
"1597"	"P04083"	NA	0	"ANXA1"	73151865	73170393	"protein_coding"
"1598"	"P04085"	0.128	0.493	"PDGFA"	497258	520296	"protein_coding"
"1599"	"P04114"	NA	NA	"APOB"	21001429	21044073	"protein_coding"
"1600"	"P04150"	0.127	0.595	"NR3C1"	143277931	143435512	"protein_coding"
"1601"	"P04156"	0.328	0.545	"PRNP"	4686350	4701590	"protein_coding"
"1602"	"P04179"	NA	0.126	"SOD2"	159669069	159762529	"protein_coding"
"1603"	"P04181"	NA	0.103	"OAT"	124397303	124418976	"protein_coding"
"1604"	"P04183"	NA	0.222	"TK1"	78174091	78187233	"protein_coding"
"1605"	"P04196"	0.297	0.415	"HRG"	186660216	186678234	"protein_coding"
"1606"	"P04216"	NA	0.273	"THY1"	119415476	119424985	"protein_coding"
"1607"	"P04233"	0.25	0.669	"CD74"	150401637	150412969	"protein_coding"
"1608"	"P04264"	0.214	0.686	"KRT1"	52674736	52680407	"protein_coding"
"1609"	"P04271"	NA	0	"S100B"	46598604	46605208	"protein_coding"
"1610"	"P04279"	0.541	1	"SEMG1"	45207033	45209768	"protein_coding"
"1611"	"P04350"	NA	0.023	"TUBB4A"	6494319	6502848	"protein_coding"
"1612"	"P04406"	NA	0	"GAPDH"	6534512	6538374	"protein_coding"
"1613"	"P04424"	NA	0.032	"ASL"	66075800	66094697	"protein_coding"
"1614"	"P04439"	0.074	0.236	"HLA-A"	29941260	29949572	"protein_coding"
"1615"	"P04440"	NA	0.302	"HLA-DPB1"	4380588	4391853	"protein_coding"
"1616"	"P04626"	0.163	0.232	"ERBB2"	39687914	39730426	"protein_coding"
"1617"	"P04629"	NA	0.197	"NTRK1"	156815636	156881850	"protein_coding"
"1618"	"P04632"	NA	0.295	"CAPNS1"	36139953	36150353	"protein_coding"
"1619"	"P04637"	0.341	0.483	"TP53"	7661779	7687546	"protein_coding"
"1620"	"P04732"	NA	0.197	"MT1E"	56625475	56627112	"protein_coding"
"1621"	"P04733"	NA	0.279	"MT1F"	56657731	56660698	"protein_coding"
"1622"	"P04792"	NA	0.537	"HSPB1"	76302673	76304295	"protein_coding"
"1623"	"P04798"	NA	0.059	"CYP1A1"	74719542	74725536	"protein_coding"
"1624"	"P04818"	0.089	0.083	"TYMS"	657653	673578	"protein_coding"
"1625"	"P04839"	NA	0	"CYBB"	37780018	37813461	"protein_coding"
"1626"	"P04843"	NA	0.069	"RPN1"	128619969	128681075	"protein_coding"
"1627"	"P04844"	NA	0.127	"RPN2"	37178410	37241619	"protein_coding"
"1628"	"P04899"	NA	0.042	"GNAI2"	50226292	50259362	"protein_coding"
"1629"	"P04920"	0.239	0.385	"SLC4A2"	151057210	151076526	"protein_coding"
"1630"	"P04921"	0.539	0.938	"GYPC"	126656133	126696667	"protein_coding"
"1631"	"P05023"	0.058	0.027	"ATP1A1"	116372668	116410261	"protein_coding"
"1632"	"P05026"	NA	0.063	"ATP1B1"	169105697	169310992	"protein_coding"
"1633"	"P05062"	NA	0.011	"ALDOB"	101420560	101449664	"protein_coding"
"1634"	"P05067"	0.118	0.443	"APP"	25880535	26171128	"protein_coding"
"1635"	"P05089"	NA	0.025	"ARG1"	131470832	131584332	"protein_coding"
"1636"	"P05091"	NA	0.052	"ALDH2"	111766887	111817532	"protein_coding"
"1637"	"P05107"	NA	0.12	"ITGB2"	44885953	44931989	"protein_coding"
"1638"	"P05109"	NA	0.032	"S100A8"	153390032	153391073	"protein_coding"
"1639"	"P05114"	1	1	"HMGN1"	39342315	39349647	"protein_coding"
"1640"	"P05121"	NA	0.057	"SERPINE1"	101127104	101139247	"protein_coding"
"1641"	"P05129"	NA	0.121	"PRKCG"	53879190	53907652	"protein_coding"
"1642"	"P05141"	NA	0	"SLC25A5"	119468422	119471396	"protein_coding"
"1643"	"P05154"	NA	0.128	"SERPINA5"	94561442	94593118	"protein_coding"
"1644"	"P05155"	0.156	0.256	"SERPING1"	57597387	57619171	"protein_coding"
"1645"	"P05160"	NA	0.056	"F13B"	197038741	197067260	"protein_coding"
"1646"	"P05161"	NA	0.085	"ISG15"	1001138	1014540	"protein_coding"
"1647"	"P05164"	NA	0.075	"MPO"	58269855	58280935	"protein_coding"
"1648"	"P05165"	NA	0.089	"PCCA"	100089015	100530437	"protein_coding"
"1649"	"P05166"	NA	0.082	"PCCB"	136250340	136337896	"protein_coding"
"1650"	"P05198"	0.073	0.079	"EIF2S1"	67360328	67386516	"protein_coding"
"1651"	"P05204"	1	1	"HMGN2"	26472440	26476642	"protein_coding"
"1652"	"P05362"	NA	0.135	"ICAM1"	10271093	10286615	"protein_coding"
"1653"	"P05386"	0.404	0.491	"RPLP1"	69452814	69456205	"protein_coding"
"1654"	"P05387"	0.33	0.53	"RPLP2"	809965	812880	"protein_coding"
"1655"	"P05388"	0.076	0.189	"RPLP0"	120196699	120201235	"protein_coding"
"1656"	"P05412"	NA	0.934	"JUN"	58776845	58784048	"protein_coding"
"1657"	"P05413"	NA	0	"FABP3"	31365253	31376850	"protein_coding"
"1658"	"P05423"	0.349	0.741	"POLR3D"	22245133	22254601	"protein_coding"
"1659"	"P05452"	NA	0.267	"CLEC3B"	45001548	45036071	"protein_coding"
"1660"	"P05455"	0.196	0.228	"SSB"	169791933	169812064	"protein_coding"
"1661"	"P05543"	NA	0.106	"SERPINA7"	106032435	106038727	"protein_coding"
"1662"	"P05546"	NA	0.204	"SERPIND1"	20774113	20787720	"protein_coding"
"1663"	"P05556"	0.041	0.115	"ITGB1"	32887273	33005792	"protein_coding"
"1664"	"P05771"	0.063	0.097	"PRKCB"	23835983	24220611	"protein_coding"
"1665"	"P05783"	NA	0.467	"KRT18"	52948871	52952906	"protein_coding"
"1666"	"P05787"	0.085	0.542	"KRT8"	52897187	52949954	"protein_coding"
"1667"	"P06126"	NA	0.122	"CD1A"	158254424	158258269	"protein_coding"
"1668"	"P06127"	0.137	0.364	"CD5"	61102489	61127852	"protein_coding"
"1669"	"P06132"	NA	0.011	"UROD"	45010950	45015575	"protein_coding"
"1670"	"P06213"	0.048	0.191	"INSR"	7112255	7294414	"protein_coding"
"1671"	"P06239"	NA	0.116	"LCK"	32251244	32286165	"protein_coding"
"1672"	"P06241"	0.041	0.156	"FYN"	111660332	111873452	"protein_coding"
"1673"	"P06276"	NA	0.07	"BCHE"	165772904	165837462	"protein_coding"
"1674"	"P06280"	NA	0.068	"GLA"	101393273	101408012	"protein_coding"
"1675"	"P06310"	NA	0.233	"IGKV2-30"	353607	354422	"IG_V_gene"
"1676"	"P06340"	NA	0.288	"HLA-DOA"	4453373	4458806	"protein_coding"
"1677"	"P06396"	0.05	0.072	"GSN"	121207794	121332843	"protein_coding"
"1678"	"P06400"	0.144	0.26	"RB1"	48303744	48599436	"protein_coding"
"1679"	"P06401"	0.282	0.654	"PGR"	101029624	101129813	"protein_coding"
"1680"	"P06454"	1	1	"PTMA"	231706895	231713551	"protein_coding"
"1681"	"P06493"	NA	0	"CDK1"	60778331	60794852	"protein_coding"
"1682"	"P06576"	NA	0.1	"ATP5F1B"	56638175	56645984	"protein_coding"
"1683"	"P06702"	0.193	0.175	"S100A9"	153357854	153361023	"protein_coding"
"1684"	"P06703"	NA	0	"S100A6"	153534599	153536244	"protein_coding"
"1685"	"P06727"	0.091	0.293	"APOA4"	116820700	116823304	"protein_coding"
"1686"	"P06730"	0.138	0.157	"EIF4E"	98879276	98929133	"protein_coding"
"1687"	"P06732"	NA	0	"CKM"	45306413	45322875	"protein_coding"
"1688"	"P06733"	NA	0	"ENO1"	8861000	8879190	"protein_coding"
"1689"	"P06734"	0.162	0.324	"FCER2"	7688758	7702146	"protein_coding"
"1690"	"P06737"	NA	0.031	"PYGL"	50857891	50944483	"protein_coding"
"1691"	"P06744"	NA	0	"GPI"	34359480	34402413	"protein_coding"
"1692"	"P06746"	NA	0.027	"POLB"	42338454	42371808	"protein_coding"
"1693"	"P06748"	0.435	0.463	"NPM1"	171387116	171411810	"protein_coding"
"1694"	"P06753"	0.098	0.698	"TPM3"	154155308	154194648	"protein_coding"
"1695"	"P06756"	0.021	0.116	"ITGAV"	186590010	186680901	"protein_coding"
"1696"	"P06858"	NA	0.044	"LPL"	19901717	19967259	"protein_coding"
"1697"	"P06865"	NA	0.028	"HEXA"	72340924	72376420	"protein_coding"
"1698"	"P07093"	NA	0.06	"SERPINE2"	223975045	224039318	"protein_coding"
"1699"	"P07098"	NA	0.065	"LIPF"	88664441	88678814	"protein_coding"
"1700"	"P07099"	NA	0.042	"EPHX1"	225810124	225845563	"protein_coding"
"1701"	"P07101"	0.062	0.167	"TH"	2163929	2171815	"protein_coding"
"1702"	"P07108"	NA	0	"DBI"	119366924	119372550	"protein_coding"
"1703"	"P07195"	NA	0.045	"LDHB"	21635342	21757857	"protein_coding"
"1704"	"P07196"	0.151	0.521	"NEFL"	24950955	24956721	"protein_coding"
"1705"	"P07197"	0.456	0.717	"NEFM"	24913758	24919098	"protein_coding"
"1706"	"P07199"	0.302	0.342	"CENPB"	3783851	3786740	"protein_coding"
"1707"	"P07203"	NA	NA	"GPX1"	49357174	49358605	"protein_coding"
"1708"	"P07205"	NA	0	"PGK2"	49785660	49787285	"protein_coding"
"1709"	"P07225"	NA	0.09	"PROS1"	93873051	93980003	"protein_coding"
"1710"	"P07237"	0.075	0.098	"P4HB"	81843159	81860856	"protein_coding"
"1711"	"P07305"	0.722	0.639	"H1-0"	37805229	37807432	"protein_coding"
"1712"	"P07311"	NA	0	"ACYP1"	75053237	75069483	"protein_coding"
"1713"	"P07332"	0.034	0.102	"FES"	90883695	90895776	"protein_coding"
"1714"	"P07333"	0.034	0.199	"CSF1R"	150053291	150113372	"protein_coding"
"1715"	"P07339"	NA	0.078	"CTSD"	1752752	1764573	"protein_coding"
"1716"	"P07355"	NA	0.065	"ANXA2"	60347134	60402883	"protein_coding"
"1717"	"P07358"	0.046	0.103	"C8B"	56929207	56974383	"protein_coding"
"1718"	"P07384"	NA	0.022	"CAPN1"	65180566	65212006	"protein_coding"
"1719"	"P07437"	0.05	0.025	"TUBB"	2049704	2054929	"protein_coding"
"1720"	"P07451"	NA	0	"CA3"	85373436	85449040	"protein_coding"
"1721"	"P07476"	0.896	0.756	"IVL"	152908546	152911886	"protein_coding"
"1722"	"P07477"	NA	0.085	"PRSS1"	752065	755673	"protein_coding"
"1723"	"P07550"	0.053	0.305	"ADRB2"	148826611	148828623	"protein_coding"
"1724"	"P07602"	NA	0.273	"PSAP"	71816298	71851251	"protein_coding"
"1725"	"P07686"	NA	0.072	"HEXB"	74640023	74722647	"protein_coding"
"1726"	"P07711"	NA	0.069	"CTSL"	87724051	87731469	"protein_coding"
"1727"	"P07737"	NA	0	"PFN1"	4945652	4949061	"protein_coding"
"1728"	"P07738"	NA	0	"BPGM"	134646811	134679816	"protein_coding"
"1729"	"P07741"	NA	0	"APRT"	88809339	88811937	"protein_coding"
"1730"	"P07814"	0.083	0.104	"EPRS1"	219968600	220046530	"protein_coding"
"1731"	"P07858"	NA	0.062	"CTSB"	1478526	1505569	"protein_coding"
"1732"	"P07864"	NA	0.033	"LDHC"	18412318	18452063	"protein_coding"
"1733"	"P07900"	0.119	0.143	"HSP90AA1"	102080742	102139699	"protein_coding"
"1734"	"P07902"	0.055	0.106	"GALT"	34638133	34651035	"protein_coding"
"1735"	"P07910"	0.451	0.68	"HNRNPC"	21209136	21269494	"protein_coding"
"1736"	"P07919"	0.33	0.264	"UQCRH"	46303698	46316776	"protein_coding"
"1737"	"P07942"	NA	0.114	"LAMB1"	107923799	108003213	"protein_coding"
"1738"	"P07947"	0.083	0.171	"YES1"	721588	812546	"protein_coding"
"1739"	"P07948"	0.121	0.125	"LYN"	55879835	56014169	"protein_coding"
"1740"	"P07951"	0.299	0.68	"TPM2"	35681992	35690056	"protein_coding"
"1741"	"P07954"	NA	0.098	"FH"	241497511	241519799	"protein_coding"
"1742"	"P07992"	0.131	0.357	"ERCC1"	45407334	45478828	"protein_coding"
"1743"	"P07996"	0.082	0.121	"THBS1"	39581079	39599466	"protein_coding"
"1744"	"P08047"	0.312	0.8	"SP1"	53380176	53416446	"protein_coding"
"1745"	"P08048"	NA	0.523	"ZFY"	2935281	2982506	"protein_coding"
"1746"	"P08069"	0.059	0.192	"IGF1R"	98648539	98964530	"protein_coding"
"1747"	"P08123"	0.807	0.831	"COL1A2"	94394895	94431227	"protein_coding"
"1748"	"P08133"	NA	0.015	"ANXA6"	151100706	151157815	"protein_coding"
"1749"	"P08134"	NA	0.052	"RHOC"	112701127	112707434	"protein_coding"
"1750"	"P08138"	0.197	0.426	"NGFR"	49495293	49515008	"protein_coding"
"1751"	"P08174"	0.205	0.352	"CD55"	207321519	207386804	"protein_coding"
"1752"	"P08183"	0.031	0.065	"ABCB1"	87503017	87713323	"protein_coding"
"1753"	"P08195"	0.04	0.314	"SLC3A2"	62856004	62888880	"protein_coding"
"1754"	"P08236"	NA	0.061	"GUSB"	65960684	65982215	"protein_coding"
"1755"	"P08237"	NA	0.013	"PFKM"	48105139	48146404	"protein_coding"
"1756"	"P08238"	0.108	0.141	"HSP90AB1"	44246166	44253888	"protein_coding"
"1757"	"P08240"	0.23	0.307	"SRPRA"	126262938	126269144	"protein_coding"
"1758"	"P08243"	NA	0	"ASNS"	97851677	97872542	"protein_coding"
"1759"	"P08254"	0.055	0.073	"MMP3"	102835801	102843609	"protein_coding"
"1760"	"P08319"	NA	0	"ADH4"	99123657	99157792	"protein_coding"
"1761"	"P08397"	NA	0.047	"HMBS"	119084866	119093834	"protein_coding"
"1762"	"P08473"	0.027	0.057	"MME"	155024124	155183704	"protein_coding"
"1763"	"P08519"	0.015	NA	"LPA"	160531482	160664275	"protein_coding"
"1764"	"P08559"	NA	0.079	"PDHA1"	19343893	19361718	"protein_coding"
"1765"	"P08567"	NA	0.054	"PLEK"	68365282	68397453	"protein_coding"
"1766"	"P08571"	NA	0.179	"CD14"	140631728	140633700	"protein_coding"
"1767"	"P08572"	0.611	0.87	"COL4A2"	110305812	110513209	"protein_coding"
"1768"	"P08574"	NA	0.332	"CYC1"	144095039	144097525	"protein_coding"
"1769"	"P08575"	0.156	0.263	"PTPRC"	280076	363881	"protein_coding"
"1770"	"P08579"	0.209	0.191	"SNRPB2"	16729961	16742564	"protein_coding"
"1771"	"P08581"	NA	0.136	"MET"	116672196	116798377	"protein_coding"
"1772"	"P08582"	NA	0.06	"MELTF"	196980590	197029835	"protein_coding"
"1773"	"P08603"	NA	0.019	"CFH"	196651754	196752476	"protein_coding"
"1774"	"P08621"	0.648	0.648	"SNRNP70"	49085419	49108605	"protein_coding"
"1775"	"P08631"	0.038	0.152	"HCK"	32052197	32101856	"protein_coding"
"1776"	"P08648"	0.03	0.109	"ITGA5"	54395261	54419266	"protein_coding"
"1777"	"P08651"	0.315	0.608	"NFIC"	3314403	3469217	"protein_coding"
"1778"	"P08670"	0.069	0.433	"VIM"	17228241	17237593	"protein_coding"
"1779"	"P08697"	0.157	0.234	"SERPINF2"	171788	184217	"protein_coding"
"1780"	"P08727"	NA	0.472	"KRT19"	41523617	41528308	"protein_coding"
"1781"	"P08729"	NA	0.535	"KRT7"	52232520	52252186	"protein_coding"
"1782"	"P08754"	NA	0.045	"GNAI3"	109548615	109600195	"protein_coding"
"1783"	"P08758"	NA	0	"ANXA5"	121667946	121696995	"protein_coding"
"1784"	"P08779"	0.097	0.603	"KRT16"	41609778	41615899	"protein_coding"
"1785"	"P08865"	0.102	0.271	"RPSA"	39406716	39426255	"protein_coding"
"1786"	"P08887"	0.158	0.387	"IL6R"	154405193	154469450	"protein_coding"
"1787"	"P08922"	0.012	0.122	"ROS1"	117287353	117425942	"protein_coding"
"1788"	"P08962"	NA	0	"CD63"	55725323	55729707	"protein_coding"
"1789"	"P09001"	NA	0.218	"MRPL3"	131462212	131502983	"protein_coding"
"1790"	"P09012"	0.121	0.365	"SNRPA"	40750637	40765389	"protein_coding"
"1791"	"P09017"	0.617	0.811	"HOXC4"	54016931	54056030	"protein_coding"
"1792"	"P09038"	0.462	0.517	"FGF2"	122826682	122898236	"protein_coding"
"1793"	"P09086"	0.528	0.745	"POU2F2"	42086110	42196585	"protein_coding"
"1794"	"P09104"	NA	0	"ENO2"	6913745	6923698	"protein_coding"
"1795"	"P09110"	NA	0.068	"ACAA1"	38103129	38137242	"protein_coding"
"1796"	"P09132"	0.194	0.215	"SRP19"	112861188	112898371	"protein_coding"
"1797"	"P09211"	NA	0	"GSTP1"	67583742	67586656	"protein_coding"
"1798"	"P09234"	0.346	0.667	"SNRPC"	34757505	34773857	"protein_coding"
"1799"	"P09237"	NA	0.109	"MMP7"	102520508	102530750	"protein_coding"
"1800"	"P09326"	NA	0.214	"CD48"	160678746	160711831	"protein_coding"
"1801"	"P09382"	NA	0	"LGALS1"	37675636	37679802	"protein_coding"
"1802"	"P09417"	NA	0	"QDPR"	17460261	17512206	"protein_coding"
"1803"	"P09429"	0.349	0.33	"HMGB1"	30456704	30617597	"protein_coding"
